0:  bodyHeight（r）=10,fuzeflat=0,headflat=2,fuzelength=4, headlength=4, bodylength=48, rearlength=4, rearheigth=5----(计算line)
27:  bodyHeight（r）=10,fuzeflat=0,headflat=2,fuzelength=4, headlength=20, bodylength=28, rearlength=8, rearheigth=5----(计算Radius和line)
28:  bodyHeight（r）=10,fuzeflat=0,headflat=2,fuzelength=4, headlength=20, bodylength=28, rearlength=8, rearheigth=7----(计算Radius和line)
29:  bodyHeight（r）=10,fuzeflat=0,headflat=2,fuzelength=4, headlength=20, bodylength=28, rearlength=8, rearheigth=9----(计算Radius和line)
30:  bodyHeight（r）=10,fuzeflat=0,headflat=2,fuzelength=4, headlength=24, bodylength=28, rearlength=4, rearheigth=5----(计算Radius和line)
31:  bodyHeight（r）=10,fuzeflat=0,headflat=2,fuzelength=4, headlength=24, bodylength=28, rearlength=4, rearheigth=7----(计算Radius和line)
32:  bodyHeight（r）=10,fuzeflat=0,headflat=2,fuzelength=4, headlength=24, bodylength=28, rearlength=4, rearheigth=9----(计算Radius和line)
33:  bodyHeight（r）=10,fuzeflat=0,headflat=2,fuzelength=4, headlength=24, bodylength=24, rearlength=8, rearheigth=5----(计算Radius和line)
34:  bodyHeight（r）=10,fuzeflat=0,headflat=2,fuzelength=4, headlength=24, bodylength=24, rearlength=8, rearheigth=7----(计算Radius和line)
35:  bodyHeight（r）=10,fuzeflat=0,headflat=2,fuzelength=4, headlength=24, bodylength=24, rearlength=8, rearheigth=9----(计算Radius和line)
36:  bodyHeight（r）=10,fuzeflat=0,headflat=2,fuzelength=8, headlength=4, bodylength=44, rearlength=4, rearheigth=5----(计算line)
37:  bodyHeight（r）=10,fuzeflat=0,headflat=2,fuzelength=8, headlength=4, bodylength=44, rearlength=4, rearheigth=7----(计算line)
38:  bodyHeight（r）=10,fuzeflat=0,headflat=2,fuzelength=8, headlength=4, bodylength=44, rearlength=4, rearheigth=9----(计算line)
39:  bodyHeight（r）=10,fuzeflat=0,headflat=2,fuzelength=8, headlength=4, bodylength=40, rearlength=8, rearheigth=5----(计算line)
40:  bodyHeight（r）=10,fuzeflat=0,headflat=2,fuzelength=8, headlength=4, bodylength=40, rearlength=8, rearheigth=7----(计算line)
41:  bodyHeight（r）=10,fuzeflat=0,headflat=2,fuzelength=8, headlength=4, bodylength=40, rearlength=8, rearheigth=9----(计算line)
42:  bodyHeight（r）=10,fuzeflat=0,headflat=2,fuzelength=8, headlength=8, bodylength=40, rearlength=4, rearheigth=5----(计算line)
43:  bodyHeight（r）=10,fuzeflat=0,headflat=2,fuzelength=8, headlength=8, bodylength=40, rearlength=4, rearheigth=7----(计算line)
44:  bodyHeight（r）=10,fuzeflat=0,headflat=2,fuzelength=8, headlength=8, bodylength=40, rearlength=4, rearheigth=9----(计算line)
45:  bodyHeight（r）=10,fuzeflat=0,headflat=2,fuzelength=8, headlength=8, bodylength=36, rearlength=8, rearheigth=5----(计算line)
46:  bodyHeight（r）=10,fuzeflat=0,headflat=2,fuzelength=8, headlength=8, bodylength=36, rearlength=8, rearheigth=7----(计算line)
47:  bodyHeight（r）=10,fuzeflat=0,headflat=2,fuzelength=8, headlength=8, bodylength=36, rearlength=8, rearheigth=9----(计算line)
48:  bodyHeight（r）=10,fuzeflat=0,headflat=2,fuzelength=8, headlength=12, bodylength=36, rearlength=4, rearheigth=5----(计算Radius和line)
49:  bodyHeight（r）=10,fuzeflat=0,headflat=2,fuzelength=8, headlength=12, bodylength=36, rearlength=4, rearheigth=7----(计算Radius和line)
50:  bodyHeight（r）=10,fuzeflat=0,headflat=2,fuzelength=8, headlength=12, bodylength=36, rearlength=4, rearheigth=9----(计算Radius和line)
51:  bodyHeight（r）=10,fuzeflat=0,headflat=2,fuzelength=8, headlength=12, bodylength=32, rearlength=8, rearheigth=5----(计算Radius和line)
52:  bodyHeight（r）=10,fuzeflat=0,headflat=2,fuzelength=8, headlength=12, bodylength=32, rearlength=8, rearheigth=7----(计算Radius和line)
53:  bodyHeight（r）=10,fuzeflat=0,headflat=2,fuzelength=8, headlength=12, bodylength=32, rearlength=8, rearheigth=9----(计算Radius和line)
54:  bodyHeight（r）=10,fuzeflat=0,headflat=2,fuzelength=8, headlength=16, bodylength=32, rearlength=4, rearheigth=5----(计算Radius和line)
55:  bodyHeight（r）=10,fuzeflat=0,headflat=2,fuzelength=8, headlength=16, bodylength=32, rearlength=4, rearheigth=7----(计算Radius和line)
56:  bodyHeight（r）=10,fuzeflat=0,headflat=2,fuzelength=8, headlength=16, bodylength=32, rearlength=4, rearheigth=9----(计算Radius和line)
57:  bodyHeight（r）=10,fuzeflat=0,headflat=2,fuzelength=8, headlength=16, bodylength=28, rearlength=8, rearheigth=5----(计算Radius和line)
58:  bodyHeight（r）=10,fuzeflat=0,headflat=2,fuzelength=8, headlength=16, bodylength=28, rearlength=8, rearheigth=7----(计算Radius和line)
59:  bodyHeight（r）=10,fuzeflat=0,headflat=2,fuzelength=8, headlength=16, bodylength=28, rearlength=8, rearheigth=9----(计算Radius和line)
60:  bodyHeight（r）=10,fuzeflat=0,headflat=2,fuzelength=8, headlength=20, bodylength=28, rearlength=4, rearheigth=5----(计算Radius和line)
61:  bodyHeight（r）=10,fuzeflat=0,headflat=2,fuzelength=8, headlength=20, bodylength=28, rearlength=4, rearheigth=7----(计算Radius和line)
62:  bodyHeight（r）=10,fuzeflat=0,headflat=2,fuzelength=8, headlength=20, bodylength=28, rearlength=4, rearheigth=9----(计算Radius和line)
63:  bodyHeight（r）=10,fuzeflat=0,headflat=2,fuzelength=8, headlength=20, bodylength=24, rearlength=8, rearheigth=5----(计算Radius和line)
64:  bodyHeight（r）=10,fuzeflat=0,headflat=2,fuzelength=8, headlength=20, bodylength=24, rearlength=8, rearheigth=7----(计算Radius和line)
65:  bodyHeight（r）=10,fuzeflat=0,headflat=2,fuzelength=8, headlength=20, bodylength=24, rearlength=8, rearheigth=9----(计算Radius和line)
66:  bodyHeight（r）=10,fuzeflat=0,headflat=4,fuzelength=4, headlength=4, bodylength=48, rearlength=4, rearheigth=5----(计算line)
67:  bodyHeight（r）=10,fuzeflat=0,headflat=4,fuzelength=4, headlength=4, bodylength=48, rearlength=4, rearheigth=7----(计算line)
68:  bodyHeight（r）=10,fuzeflat=0,headflat=4,fuzelength=4, headlength=4, bodylength=48, rearlength=4, rearheigth=9----(计算line)
69:  bodyHeight（r）=10,fuzeflat=0,headflat=4,fuzelength=4, headlength=4, bodylength=44, rearlength=8, rearheigth=5----(计算line)
70:  bodyHeight（r）=10,fuzeflat=0,headflat=4,fuzelength=4, headlength=4, bodylength=44, rearlength=8, rearheigth=7----(计算line)
71:  bodyHeight（r）=10,fuzeflat=0,headflat=4,fuzelength=4, headlength=4, bodylength=44, rearlength=8, rearheigth=9----(计算line)
72:  bodyHeight（r）=10,fuzeflat=0,headflat=4,fuzelength=4, headlength=8, bodylength=44, rearlength=4, rearheigth=5----(计算line)
73:  bodyHeight（r）=10,fuzeflat=0,headflat=4,fuzelength=4, headlength=8, bodylength=44, rearlength=4, rearheigth=7----(计算line)
74:  bodyHeight（r）=10,fuzeflat=0,headflat=4,fuzelength=4, headlength=8, bodylength=44, rearlength=4, rearheigth=9----(计算line)
75:  bodyHeight（r）=10,fuzeflat=0,headflat=4,fuzelength=4, headlength=8, bodylength=40, rearlength=8, rearheigth=5----(计算line)
76:  bodyHeight（r）=10,fuzeflat=0,headflat=4,fuzelength=4, headlength=8, bodylength=40, rearlength=8, rearheigth=7----(计算line)
77:  bodyHeight（r）=10,fuzeflat=0,headflat=4,fuzelength=4, headlength=8, bodylength=40, rearlength=8, rearheigth=9----(计算line)
78:  bodyHeight（r）=10,fuzeflat=0,headflat=4,fuzelength=4, headlength=12, bodylength=40, rearlength=4, rearheigth=5----(计算line)
79:  bodyHeight（r）=10,fuzeflat=0,headflat=4,fuzelength=4, headlength=12, bodylength=40, rearlength=4, rearheigth=7----(计算line)
80:  bodyHeight（r）=10,fuzeflat=0,headflat=4,fuzelength=4, headlength=12, bodylength=40, rearlength=4, rearheigth=9----(计算line)
81:  bodyHeight（r）=10,fuzeflat=0,headflat=4,fuzelength=4, headlength=12, bodylength=36, rearlength=8, rearheigth=5----(计算line)
82:  bodyHeight（r）=10,fuzeflat=0,headflat=4,fuzelength=4, headlength=12, bodylength=36, rearlength=8, rearheigth=7----(计算line)
83:  bodyHeight（r）=10,fuzeflat=0,headflat=4,fuzelength=4, headlength=12, bodylength=36, rearlength=8, rearheigth=9----(计算line)
84:  bodyHeight（r）=10,fuzeflat=0,headflat=4,fuzelength=4, headlength=16, bodylength=36, rearlength=4, rearheigth=5----(计算Radius和line)
85:  bodyHeight（r）=10,fuzeflat=0,headflat=4,fuzelength=4, headlength=16, bodylength=36, rearlength=4, rearheigth=7----(计算Radius和line)
86:  bodyHeight（r）=10,fuzeflat=0,headflat=4,fuzelength=4, headlength=16, bodylength=36, rearlength=4, rearheigth=9----(计算Radius和line)
87:  bodyHeight（r）=10,fuzeflat=0,headflat=4,fuzelength=4, headlength=16, bodylength=32, rearlength=8, rearheigth=5----(计算Radius和line)
88:  bodyHeight（r）=10,fuzeflat=0,headflat=4,fuzelength=4, headlength=16, bodylength=32, rearlength=8, rearheigth=7----(计算Radius和line)
89:  bodyHeight（r）=10,fuzeflat=0,headflat=4,fuzelength=4, headlength=16, bodylength=32, rearlength=8, rearheigth=9----(计算Radius和line)
90:  bodyHeight（r）=10,fuzeflat=0,headflat=4,fuzelength=4, headlength=20, bodylength=32, rearlength=4, rearheigth=5----(计算Radius和line)
91:  bodyHeight（r）=10,fuzeflat=0,headflat=4,fuzelength=4, headlength=20, bodylength=32, rearlength=4, rearheigth=7----(计算Radius和line)
92:  bodyHeight（r）=10,fuzeflat=0,headflat=4,fuzelength=4, headlength=20, bodylength=32, rearlength=4, rearheigth=9----(计算Radius和line)
93:  bodyHeight（r）=10,fuzeflat=0,headflat=4,fuzelength=4, headlength=20, bodylength=28, rearlength=8, rearheigth=5----(计算Radius和line)
94:  bodyHeight（r）=10,fuzeflat=0,headflat=4,fuzelength=4, headlength=20, bodylength=28, rearlength=8, rearheigth=7----(计算Radius和line)
95:  bodyHeight（r）=10,fuzeflat=0,headflat=4,fuzelength=4, headlength=20, bodylength=28, rearlength=8, rearheigth=9----(计算Radius和line)
96:  bodyHeight（r）=10,fuzeflat=0,headflat=4,fuzelength=4, headlength=24, bodylength=28, rearlength=4, rearheigth=5----(计算Radius和line)
97:  bodyHeight（r）=10,fuzeflat=0,headflat=4,fuzelength=4, headlength=24, bodylength=28, rearlength=4, rearheigth=7----(计算Radius和line)
98:  bodyHeight（r）=10,fuzeflat=0,headflat=4,fuzelength=4, headlength=24, bodylength=28, rearlength=4, rearheigth=9----(计算Radius和line)
99:  bodyHeight（r）=10,fuzeflat=0,headflat=4,fuzelength=4, headlength=24, bodylength=24, rearlength=8, rearheigth=5----(计算Radius和line)
100:  bodyHeight（r）=10,fuzeflat=0,headflat=4,fuzelength=4, headlength=24, bodylength=24, rearlength=8, rearheigth=7----(计算Radius和line)
101:  bodyHeight（r）=10,fuzeflat=0,headflat=4,fuzelength=4, headlength=24, bodylength=24, rearlength=8, rearheigth=9----(计算Radius和line)
102:  bodyHeight（r）=10,fuzeflat=0,headflat=4,fuzelength=8, headlength=4, bodylength=44, rearlength=4, rearheigth=5----(计算line)
103:  bodyHeight（r）=10,fuzeflat=0,headflat=4,fuzelength=8, headlength=4, bodylength=44, rearlength=4, rearheigth=7----(计算line)
104:  bodyHeight（r）=10,fuzeflat=0,headflat=4,fuzelength=8, headlength=4, bodylength=44, rearlength=4, rearheigth=9----(计算line)
105:  bodyHeight（r）=10,fuzeflat=0,headflat=4,fuzelength=8, headlength=4, bodylength=40, rearlength=8, rearheigth=5----(计算line)
106:  bodyHeight（r）=10,fuzeflat=0,headflat=4,fuzelength=8, headlength=4, bodylength=40, rearlength=8, rearheigth=7----(计算line)
107:  bodyHeight（r）=10,fuzeflat=0,headflat=4,fuzelength=8, headlength=4, bodylength=40, rearlength=8, rearheigth=9----(计算line)
108:  bodyHeight（r）=10,fuzeflat=0,headflat=4,fuzelength=8, headlength=8, bodylength=40, rearlength=4, rearheigth=5----(计算line)
109:  bodyHeight（r）=10,fuzeflat=0,headflat=4,fuzelength=8, headlength=8, bodylength=40, rearlength=4, rearheigth=7----(计算line)
110:  bodyHeight（r）=10,fuzeflat=0,headflat=4,fuzelength=8, headlength=8, bodylength=40, rearlength=4, rearheigth=9----(计算line)
111:  bodyHeight（r）=10,fuzeflat=0,headflat=4,fuzelength=8, headlength=8, bodylength=36, rearlength=8, rearheigth=5----(计算line)
112:  bodyHeight（r）=10,fuzeflat=0,headflat=4,fuzelength=8, headlength=8, bodylength=36, rearlength=8, rearheigth=7----(计算line)
113:  bodyHeight（r）=10,fuzeflat=0,headflat=4,fuzelength=8, headlength=8, bodylength=36, rearlength=8, rearheigth=9----(计算line)
114:  bodyHeight（r）=10,fuzeflat=0,headflat=4,fuzelength=8, headlength=12, bodylength=36, rearlength=4, rearheigth=5----(计算Radius和line)
115:  bodyHeight（r）=10,fuzeflat=0,headflat=4,fuzelength=8, headlength=12, bodylength=36, rearlength=4, rearheigth=7----(计算Radius和line)
116:  bodyHeight（r）=10,fuzeflat=0,headflat=4,fuzelength=8, headlength=12, bodylength=36, rearlength=4, rearheigth=9----(计算Radius和line)
117:  bodyHeight（r）=10,fuzeflat=0,headflat=4,fuzelength=8, headlength=12, bodylength=32, rearlength=8, rearheigth=5----(计算Radius和line)
118:  bodyHeight（r）=10,fuzeflat=0,headflat=4,fuzelength=8, headlength=12, bodylength=32, rearlength=8, rearheigth=7----(计算Radius和line)
119:  bodyHeight（r）=10,fuzeflat=0,headflat=4,fuzelength=8, headlength=12, bodylength=32, rearlength=8, rearheigth=9----(计算Radius和line)
120:  bodyHeight（r）=10,fuzeflat=0,headflat=4,fuzelength=8, headlength=16, bodylength=32, rearlength=4, rearheigth=5----(计算Radius和line)
121:  bodyHeight（r）=10,fuzeflat=0,headflat=4,fuzelength=8, headlength=16, bodylength=32, rearlength=4, rearheigth=7----(计算Radius和line)
122:  bodyHeight（r）=10,fuzeflat=0,headflat=4,fuzelength=8, headlength=16, bodylength=32, rearlength=4, rearheigth=9----(计算Radius和line)
123:  bodyHeight（r）=10,fuzeflat=0,headflat=4,fuzelength=8, headlength=16, bodylength=28, rearlength=8, rearheigth=5----(计算Radius和line)
124:  bodyHeight（r）=10,fuzeflat=0,headflat=4,fuzelength=8, headlength=16, bodylength=28, rearlength=8, rearheigth=7----(计算Radius和line)
125:  bodyHeight（r）=10,fuzeflat=0,headflat=4,fuzelength=8, headlength=16, bodylength=28, rearlength=8, rearheigth=9----(计算Radius和line)
126:  bodyHeight（r）=10,fuzeflat=0,headflat=4,fuzelength=8, headlength=20, bodylength=28, rearlength=4, rearheigth=5----(计算Radius和line)
127:  bodyHeight（r）=10,fuzeflat=0,headflat=4,fuzelength=8, headlength=20, bodylength=28, rearlength=4, rearheigth=7----(计算Radius和line)
128:  bodyHeight（r）=10,fuzeflat=0,headflat=4,fuzelength=8, headlength=20, bodylength=28, rearlength=4, rearheigth=9----(计算Radius和line)
129:  bodyHeight（r）=10,fuzeflat=0,headflat=4,fuzelength=8, headlength=20, bodylength=24, rearlength=8, rearheigth=5----(计算Radius和line)
130:  bodyHeight（r）=10,fuzeflat=0,headflat=4,fuzelength=8, headlength=20, bodylength=24, rearlength=8, rearheigth=7----(计算Radius和line)
131:  bodyHeight（r）=10,fuzeflat=0,headflat=4,fuzelength=8, headlength=20, bodylength=24, rearlength=8, rearheigth=9----(计算Radius和line)
132:  bodyHeight（r）=10,fuzeflat=0,headflat=6,fuzelength=4, headlength=4, bodylength=48, rearlength=4, rearheigth=5----(计算line)
133:  bodyHeight（r）=10,fuzeflat=0,headflat=6,fuzelength=4, headlength=4, bodylength=48, rearlength=4, rearheigth=7----(计算line)
134:  bodyHeight（r）=10,fuzeflat=0,headflat=6,fuzelength=4, headlength=4, bodylength=48, rearlength=4, rearheigth=9----(计算line)
135:  bodyHeight（r）=10,fuzeflat=0,headflat=6,fuzelength=4, headlength=4, bodylength=44, rearlength=8, rearheigth=5----(计算line)
136:  bodyHeight（r）=10,fuzeflat=0,headflat=6,fuzelength=4, headlength=4, bodylength=44, rearlength=8, rearheigth=7----(计算line)
137:  bodyHeight（r）=10,fuzeflat=0,headflat=6,fuzelength=4, headlength=4, bodylength=44, rearlength=8, rearheigth=9----(计算line)
138:  bodyHeight（r）=10,fuzeflat=0,headflat=6,fuzelength=4, headlength=8, bodylength=44, rearlength=4, rearheigth=5----(计算line)
139:  bodyHeight（r）=10,fuzeflat=0,headflat=6,fuzelength=4, headlength=8, bodylength=44, rearlength=4, rearheigth=7----(计算line)
140:  bodyHeight（r）=10,fuzeflat=0,headflat=6,fuzelength=4, headlength=8, bodylength=44, rearlength=4, rearheigth=9----(计算line)
141:  bodyHeight（r）=10,fuzeflat=0,headflat=6,fuzelength=4, headlength=8, bodylength=40, rearlength=8, rearheigth=5----(计算line)
142:  bodyHeight（r）=10,fuzeflat=0,headflat=6,fuzelength=4, headlength=8, bodylength=40, rearlength=8, rearheigth=7----(计算line)
143:  bodyHeight（r）=10,fuzeflat=0,headflat=6,fuzelength=4, headlength=8, bodylength=40, rearlength=8, rearheigth=9----(计算line)
144:  bodyHeight（r）=10,fuzeflat=0,headflat=6,fuzelength=4, headlength=12, bodylength=40, rearlength=4, rearheigth=5----(计算line)
145:  bodyHeight（r）=10,fuzeflat=0,headflat=6,fuzelength=4, headlength=12, bodylength=40, rearlength=4, rearheigth=7----(计算line)
146:  bodyHeight（r）=10,fuzeflat=0,headflat=6,fuzelength=4, headlength=12, bodylength=40, rearlength=4, rearheigth=9----(计算line)
147:  bodyHeight（r）=10,fuzeflat=0,headflat=6,fuzelength=4, headlength=12, bodylength=36, rearlength=8, rearheigth=5----(计算line)
148:  bodyHeight（r）=10,fuzeflat=0,headflat=6,fuzelength=4, headlength=12, bodylength=36, rearlength=8, rearheigth=7----(计算line)
149:  bodyHeight（r）=10,fuzeflat=0,headflat=6,fuzelength=4, headlength=12, bodylength=36, rearlength=8, rearheigth=9----(计算line)
150:  bodyHeight（r）=10,fuzeflat=0,headflat=6,fuzelength=4, headlength=16, bodylength=36, rearlength=4, rearheigth=5----(计算Radius和line)
151:  bodyHeight（r）=10,fuzeflat=0,headflat=6,fuzelength=4, headlength=16, bodylength=36, rearlength=4, rearheigth=7----(计算Radius和line)
152:  bodyHeight（r）=10,fuzeflat=0,headflat=6,fuzelength=4, headlength=16, bodylength=36, rearlength=4, rearheigth=9----(计算Radius和line)
153:  bodyHeight（r）=10,fuzeflat=0,headflat=6,fuzelength=4, headlength=16, bodylength=32, rearlength=8, rearheigth=5----(计算Radius和line)
154:  bodyHeight（r）=10,fuzeflat=0,headflat=6,fuzelength=4, headlength=16, bodylength=32, rearlength=8, rearheigth=7----(计算Radius和line)
155:  bodyHeight（r）=10,fuzeflat=0,headflat=6,fuzelength=4, headlength=16, bodylength=32, rearlength=8, rearheigth=9----(计算Radius和line)
156:  bodyHeight（r）=10,fuzeflat=0,headflat=6,fuzelength=4, headlength=20, bodylength=32, rearlength=4, rearheigth=5----(计算Radius和line)
157:  bodyHeight（r）=10,fuzeflat=0,headflat=6,fuzelength=4, headlength=20, bodylength=32, rearlength=4, rearheigth=7----(计算Radius和line)
158:  bodyHeight（r）=10,fuzeflat=0,headflat=6,fuzelength=4, headlength=20, bodylength=32, rearlength=4, rearheigth=9----(计算Radius和line)
159:  bodyHeight（r）=10,fuzeflat=0,headflat=6,fuzelength=4, headlength=20, bodylength=28, rearlength=8, rearheigth=5----(计算Radius和line)
160:  bodyHeight（r）=10,fuzeflat=0,headflat=6,fuzelength=4, headlength=20, bodylength=28, rearlength=8, rearheigth=7----(计算Radius和line)
161:  bodyHeight（r）=10,fuzeflat=0,headflat=6,fuzelength=4, headlength=20, bodylength=28, rearlength=8, rearheigth=9----(计算Radius和line)
162:  bodyHeight（r）=10,fuzeflat=0,headflat=6,fuzelength=4, headlength=24, bodylength=28, rearlength=4, rearheigth=5----(计算Radius和line)
163:  bodyHeight（r）=10,fuzeflat=0,headflat=6,fuzelength=4, headlength=24, bodylength=28, rearlength=4, rearheigth=7----(计算Radius和line)
164:  bodyHeight（r）=10,fuzeflat=0,headflat=6,fuzelength=4, headlength=24, bodylength=28, rearlength=4, rearheigth=9----(计算Radius和line)
165:  bodyHeight（r）=10,fuzeflat=0,headflat=6,fuzelength=4, headlength=24, bodylength=24, rearlength=8, rearheigth=5----(计算Radius和line)
166:  bodyHeight（r）=10,fuzeflat=0,headflat=6,fuzelength=4, headlength=24, bodylength=24, rearlength=8, rearheigth=7----(计算Radius和line)
167:  bodyHeight（r）=10,fuzeflat=0,headflat=6,fuzelength=4, headlength=24, bodylength=24, rearlength=8, rearheigth=9----(计算Radius和line)
168:  bodyHeight（r）=10,fuzeflat=0,headflat=6,fuzelength=8, headlength=4, bodylength=44, rearlength=4, rearheigth=5----(计算line)
169:  bodyHeight（r）=10,fuzeflat=0,headflat=6,fuzelength=8, headlength=4, bodylength=44, rearlength=4, rearheigth=7----(计算line)
170:  bodyHeight（r）=10,fuzeflat=0,headflat=6,fuzelength=8, headlength=4, bodylength=44, rearlength=4, rearheigth=9----(计算line)
171:  bodyHeight（r）=10,fuzeflat=0,headflat=6,fuzelength=8, headlength=4, bodylength=40, rearlength=8, rearheigth=5----(计算line)
172:  bodyHeight（r）=10,fuzeflat=0,headflat=6,fuzelength=8, headlength=4, bodylength=40, rearlength=8, rearheigth=7----(计算line)
173:  bodyHeight（r）=10,fuzeflat=0,headflat=6,fuzelength=8, headlength=4, bodylength=40, rearlength=8, rearheigth=9----(计算line)
174:  bodyHeight（r）=10,fuzeflat=0,headflat=6,fuzelength=8, headlength=8, bodylength=40, rearlength=4, rearheigth=5----(计算line)
175:  bodyHeight（r）=10,fuzeflat=0,headflat=6,fuzelength=8, headlength=8, bodylength=40, rearlength=4, rearheigth=7----(计算line)
176:  bodyHeight（r）=10,fuzeflat=0,headflat=6,fuzelength=8, headlength=8, bodylength=40, rearlength=4, rearheigth=9----(计算line)
177:  bodyHeight（r）=10,fuzeflat=0,headflat=6,fuzelength=8, headlength=8, bodylength=36, rearlength=8, rearheigth=5----(计算line)
178:  bodyHeight（r）=10,fuzeflat=0,headflat=6,fuzelength=8, headlength=8, bodylength=36, rearlength=8, rearheigth=7----(计算line)
179:  bodyHeight（r）=10,fuzeflat=0,headflat=6,fuzelength=8, headlength=8, bodylength=36, rearlength=8, rearheigth=9----(计算line)
180:  bodyHeight（r）=10,fuzeflat=0,headflat=6,fuzelength=8, headlength=12, bodylength=36, rearlength=4, rearheigth=5----(计算Radius和line)
181:  bodyHeight（r）=10,fuzeflat=0,headflat=6,fuzelength=8, headlength=12, bodylength=36, rearlength=4, rearheigth=7----(计算Radius和line)
182:  bodyHeight（r）=10,fuzeflat=0,headflat=6,fuzelength=8, headlength=12, bodylength=36, rearlength=4, rearheigth=9----(计算Radius和line)
183:  bodyHeight（r）=10,fuzeflat=0,headflat=6,fuzelength=8, headlength=12, bodylength=32, rearlength=8, rearheigth=5----(计算Radius和line)
184:  bodyHeight（r）=10,fuzeflat=0,headflat=6,fuzelength=8, headlength=12, bodylength=32, rearlength=8, rearheigth=7----(计算Radius和line)
185:  bodyHeight（r）=10,fuzeflat=0,headflat=6,fuzelength=8, headlength=12, bodylength=32, rearlength=8, rearheigth=9----(计算Radius和line)
186:  bodyHeight（r）=10,fuzeflat=0,headflat=6,fuzelength=8, headlength=16, bodylength=32, rearlength=4, rearheigth=5----(计算Radius和line)
187:  bodyHeight（r）=10,fuzeflat=0,headflat=6,fuzelength=8, headlength=16, bodylength=32, rearlength=4, rearheigth=7----(计算Radius和line)
